Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Xkr4,7,0,9,14,3,10
Rp1,0,0,0,0,0,0
Sox17,0,0,0,0,0,0
Mrpl15,1474,1294,1534,1252,757,1380
Lypla1,1626,2237,1911,1876,1447,1778
Tcea1,3771,4502,4234,3493,2279,3679
Rgs20,4,6,7,0,2,3
Atp6v1h,4582,4109,5175,3641,2893,4145
Oprk1,2,1,15,0,0,0
Npbwr1,0,0,0,0,0,0
Rb1cc1,1725,2501,1928,1850,2042,1595
Fam150a,5,1,4,2,9,1
St18,2,1,2,1,1,0
Pcmtd1,1114,1352,1317,872,1284,744
Sntg1,14,2,23,0,0,1
Rrs1,2338,1823,2555,1867,953,1899
Adhfe1,87,113,90,47,66,36
2610203C22Rik,11,31,15,8,16,10
3110035E14Rik,0,7,1,1,4,0
Mybl1,288,357,297,175,108,179
Vcpip1,1688,1936,1881,1805,1167,1586
1700034P13Rik,269,359,321,287,211,246
Sgk3,106,149,119,65,218,80
Mcmdc2,0,0,0,0,0,0
Snhg6,964,717,1034,686,525,953
Snord87,1,2,1,0,0,0
Tcf24,348,92,352,182,8,182
Ppp1r42,0,1,1,5,0,0
Cops5,2868,3119,3236,2834,2175,3427
Cspp1,438,597,496,528,254,471
Arfgef1,3311,3672,3890,3823,2113,3677
Cpa6,467,480,490,289,464,271
Mir467e,0,0,0,0,0,0
Prex2,116,55,148,1060,37,835
A830018L16Rik,0,2,3,0,0,5
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,3343,4214,3730,5237,2139,5060
Slco5a1,42,20,44,40,31,37
Prdm14,0,0,0,2,0,0
Ncoa2,1162,1471,1299,1243,918,1029
Tram1,4034,5036,4535,3426,3655,3442
Lactb2,1500,1580,1695,1651,1069,1760
Xkr9,1,2,2,0,0,4
Gm5523,1,5,1,2,0,10
Eya1,23,30,36,460,113,384
Msc,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0
Terf1,443,648,475,562,257,612
Sbspon,3,0,0,1,0,0
4930444P10Rik,0,0,0,0,0,0
Rpl7,18369,21075,20874,16804,12674,18416
Rdh10,426,384,470,368,214,402
Stau2,200,335,192,219,212,166
Ube2w,1098,1209,1251,878,873,992
Tceb1,2703,2604,2945,2303,1801,2615
D030040B21Rik,13,9,11,9,13,13
Tmem70,1466,1639,1752,1362,1260,1542
Ly96,158,197,222,115,106,171
Jph1,347,376,418,537,336,558
Gdap1,16,20,11,11,7,4
Pi15,36,1199,41,5,223,6
Crispld1,0,4,0,0,0,0
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0
Pkhd1,0,3,0,1,1,0
4930486I03Rik,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,0,0,0,0,0
Il17f,3,0,2,8,1,0
Mcm3,6856,8401,7834,7629,3690,7885
6720483E21Rik,8,1,5,3,2,4
Paqr8,280,288,306,285,248,295
Efhc1,62,75,45,44,39,47
Tram2,317,463,355,379,237,342
Tmem14a,201,231,212,194,162,199
Gsta3,31,23,27,0,15,2
Gm4956,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0
Kcnq5,0,1,0,2,0,1
Rims1,0,0,0,0,0,0
Rims1,0,0,0,0,0,0
4933415F23Rik,0,0,0,2,0,0
Mir30a,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0
Ogfrl1,73,148,62,84,103,117
B3gat2,724,988,968,749,741,775
Smap1,1961,2428,2286,1973,1964,1997
1110058L19Rik,467,427,499,366,348,493
Fam135a,745,763,874,761,433,717
Col9a1,0,0,0,0,0,0
Col19a1,0,0,0,1,3,1
Lmbrd1,1586,1813,1711,1590,1205,1701
Bai3,1,0,0,0,0,0
Gm20172,0,0,0,0,0,0
4931408C20Rik,2,0,4,0,0,1
Gm597,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Phf3,3349,3971,3641,3766,2480,3213
Ptp4a1,231,304,276,186,134,180
Gm13363,0,0,0,0,0,0
4931428L18Rik,3,0,2,0,0,0
Lgsn,2,0,2,0,0,0
Pih1d3,0,0,0,0,0,0
Gm4850,0,0,0,2,0,0
Khdrbs2,8,0,2,0,5,0
Gm9839,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0
Prim2,1053,1636,1282,1174,775,1274
1700001G17Rik,38,26,34,15,17,10
Rab23,603,1069,588,525,454,528
Bag2,941,1505,1097,1170,1064,1298
Zfp451,646,961,748,771,616,702
Gm15455,8,7,12,5,7,3
Bend6,217,228,275,183,130,136
Dst,6074,9134,6904,8282,7105,6716
Mir6896,0,0,0,0,0,0
Mir5103,0,3,0,0,0,0
Ccdc115,546,485,584,453,268,557
Imp4,1299,1005,1342,1209,583,1246
Ptpn18,5,12,2,29,3,26
Prss39,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
Amer3,0,0,0,0,1,0
AA619741,0,0,0,0,0,0
Arhgef4,74,47,60,47,45,23
Fam168b,5445,7263,6074,4987,4117,4855
Plekhb2,2317,4312,2501,2720,2580,2853
Mir7669,0,0,0,0,0,0
Hs6st1,1290,1885,1204,1198,1276,1206
Uggt1,3834,6753,4482,4161,5120,4008
Mir6897,0,0,0,0,0,0
Neurl3,64,93,52,227,78,254
Arid5a,342,252,344,199,156,212
Kansl3,1152,1733,1325,978,1053,941
Mir6898,0,0,0,0,0,0
Fer1l5,126,118,137,43,129,63
Lman2l,479,428,486,274,436,335
Cnnm4,546,454,597,450,469,380
Cnnm3,339,457,341,311,423,243
Ankrd23,30,56,21,22,35,17
Ankrd39,90,136,81,63,148,108
Sema4c,376,652,438,337,776,356
Fam178b,13,7,5,2,35,0
Cox5b,2531,2638,2793,1789,2731,2467
Actr1b,3150,3519,3209,2530,3097,2708
4933424G06Rik,2,2,4,2,4,1
Zap70,0,0,0,1,0,0
Tmem131,2319,3646,2400,3099,2131,2769
Cnga3,8,0,2,1,0,2
Inpp4a,204,395,230,214,334,212
Coa5,2195,2612,2347,1879,1713,1839
Unc50,692,975,689,445,892,591
Mgat4a,0,20,1,13,21,14
4930594C11Rik,1,0,0,2,0,2
2010300C02Rik,2,0,0,2,1,2
Tsga10,21,37,14,22,33,23
Lipt1,80,126,91,88,83,91
Mitd1,597,749,684,489,244,519
Mrpl30,1275,1438,1405,957,923,1049
Lyg2,0,0,0,6,4,2
Lyg1,0,0,0,0,0,0
Txndc9,1221,1649,1448,1242,1252,1363
Eif5b,3682,5478,3939,4300,4135,3887
Rev1,445,800,524,456,511,421
Aff3,332,946,336,617,159,609
Lonrf2,0,1,0,0,1,0
Chst10,0,188,0,2,1,1
Nms,0,0,0,0,0,0
Pdcl3,1173,1576,1223,1118,1711,1199
Mir6349,0,0,0,0,0,0
Npas2,4,3,0,0,5,0
Rpl31,5969,8058,6551,4176,6923,5763
Tbc1d8,116,144,153,102,150,113
Cnot11,710,1120,761,757,722,775
Snord89,2,2,1,4,0,0
Rnf149,888,895,929,626,976,608
Creg2,0,1,0,0,1,0
Rfx8,0,0,0,0,2,0
Gm3646,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0
Map4k4,5457,8008,5846,5531,5779,5065
Gm16894,1,1,2,1,1,1
Il1r2,7,4,12,4,8,8
Il1r1,207,799,238,182,248,176
Il1rl2,81,68,104,29,2,21
Il1rl1,137,5136,150,116,512,128
Il18r1,1,8,0,0,0,0
Il18rap,62,443,75,31,120,30
Slc9a4,2,2,0,0,0,2
Slc9a2,1,7,0,1,0,0
Mfsd9,67,133,82,59,79,40
Tmem182,0,0,0,0,0,1
4930448I06Rik,0,0,0,0,0,0
Pou3f3os,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0
2900092D14Rik,0,0,0,0,0,0
2610207O16Rik,0,0,0,0,0,0
Mrps9,656,749,766,678,497,702
Gpr45,0,0,0,0,0,0
Tgfbrap1,932,956,992,723,887,683
AI597479,541,677,611,560,546,542
Fhl2,838,1210,994,601,806,713
Nck2,382,612,450,422,782,363
1500015O10Rik,0,34,3,0,9,0
Uxs1,936,1407,1053,792,939,880
Tpp2,2742,4388,3026,2780,2876,2540
Mettl21c,0,2,1,0,0,0
Tex30,345,425,345,411,315,435
Kdelc1,983,1205,1095,1136,972,1168
Bivm,572,819,667,672,649,618
Ercc5,350,525,356,293,483,334
Mettl21e,0,0,0,0,3,0
Gulp1,701,1087,833,721,906,739
4930521E06Rik,0,0,0,0,0,1
Col3a1,26622,95728,29274,19088,82825,19137
Col5a2,13677,26635,15337,10026,19771,10089
Wdr75,1489,1915,1609,1729,1195,1755
Slc40a1,153,194,209,62,185,72
Gm4776,0,0,0,0,0,0
Dnah7b,40,22,54,53,42,42
Slc39a10,2101,2167,2436,1656,2232,1637
Mir6350,0,0,0,0,0,0
Tmeff2,323,194,329,91,598,71
9330175M20Rik,1,2,1,0,1,1
Sdpr,1086,1726,1159,1131,1701,1112
Nabp1,435,319,428,272,241,281
Myo1b,4,476,1,4,92,0
Stat4,0,1,0,0,3,0
Stat1,4023,3569,4420,1832,708,1931
Gls,2736,4227,3026,3187,2901,3034
Nab1,3763,3145,4072,2242,3367,2185
Tmem194b,151,187,194,113,169,142
Mfsd6,663,79,683,27,220,26
Inpp1,255,337,304,217,223,219
Hibch,382,424,390,398,339,399
1700019D03Rik,0,0,1,2,0,1
Mstn,0,0,0,0,0,0
1700019A02Rik,0,3,0,0,0,2
Pms1,157,239,198,214,175,193
Ormdl1,366,506,404,371,306,361
Osgepl1,186,215,209,147,189,222
Asnsd1,1162,1447,1342,1148,1237,1075
Dnah7a,0,1,0,0,0,1
Stk17b,1037,1414,1205,1297,1751,1309
Hecw2,66,125,104,53,102,40
Mir7681,0,0,0,0,0,0
Ccdc150,1,2,7,2,2,8
Gtf3c3,603,957,780,658,690,695
Pgap1,301,434,341,262,497,238
Ankrd44,523,834,553,351,572,291
Sf3b1,6175,9473,6979,6976,5708,6352
Coq10b,769,696,825,562,512,611
Hspd1,16379,18446,18575,17795,12508,17664
Hspe1,5078,4923,5481,4706,4100,5519
Mob4,1131,1442,1311,975,1039,1048
Rftn2,386,714,391,97,331,107
Mars2,213,216,213,144,129,171
Boll,0,0,0,0,0,0
Plcl1,301,562,314,219,575,225
9130227L01Rik,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0
Satb2,182,210,167,182,112,137
9130024F11Rik,43,46,42,39,28,33
BC055402,0,0,0,0,0,0
4930558J18Rik,38,65,61,41,32,37
1700066M21Rik,187,307,242,181,184,182
Tyw5,227,319,270,224,241,267
9430016H08Rik,470,512,417,346,479,411
Spats2l,156,333,135,153,243,155
Kctd18,160,198,146,146,145,135
Sgol2,570,1153,628,975,497,825
Aox1,272,457,315,169,300,150
Aox3,28,8,23,1,21,1
Aox4,0,0,8,2,6,0
Aox2,1,1,2,2,1,2
Bzw1,7092,10795,8190,7677,7457,7667
Clk1,308,583,363,482,466,452
Ppil3,346,463,383,345,350,399
Nif3l1,466,552,610,500,335,586
Orc2,1189,1303,1231,1279,785,1133
Fam126b,225,270,241,202,197,206
Ndufb3,918,990,1028,608,1049,797
Gm20257,73,58,63,42,44,21
Als2cr12,27,12,37,27,2,6
Cflar,1181,1900,1278,770,1077,704
Casp8,751,1067,878,666,754,779
Trak2,1527,1588,1769,1233,1412,1115
Stradb,201,260,235,178,324,171
Als2cr11,0,0,0,0,0,0
Tmem237,458,618,478,442,449,428
Mpp4,7,7,5,2,4,6
Als2,856,1143,1014,1146,983,1059
Cdk15,3,30,10,0,35,1
Fzd7,1313,2048,1493,1600,1784,1577
Gm973,1,7,4,1,0,5
Sumo1,1473,2276,1756,1373,1648,1581
Nop58,3363,4428,3558,3864,2357,3899
Snord70,0,0,0,1,1,0
Snord11,2,0,0,0,0,0
Bmpr2,1782,2955,2017,2013,2668,1684
Fam117b,498,714,683,537,764,500
Ica1l,31,22,49,13,33,12
Wdr12,902,1072,1063,912,505,1008
Carf,85,163,118,111,135,86
Nbeal1,557,909,646,722,919,595
Cyp20a1,548,859,602,499,636,534
Abi2,746,1083,836,589,679,529
Raph1,1126,1924,1363,726,1332,627
Cd28,0,1,1,0,4,2
Ctla4,0,0,0,0,0,0
Icos,3,5,4,3,0,9
9530026F06Rik,0,0,0,0,0,0
Pard3b,239,291,225,114,253,94
Nrp2,3946,6305,4437,1760,2296,1536
4930487H11Rik,2,4,2,0,2,0
Ino80d,566,1201,651,694,738,614
Ino80dos,334,422,391,350,369,365
Ndufs1,2109,2689,2302,2104,2350,2216
Eef1b2,7312,8930,8299,5735,8649,6846
Snora41,1,0,1,4,2,2
Gpr1,0,0,0,1,0,0
Zdbf2,0,0,0,0,0,0
Adam23,6,23,2,42,2,19
Dytn,0,0,0,0,0,0
Mdh1b,1,3,1,6,1,1
Fastkd2,541,571,543,911,359,854
4933402D24Rik,11,14,7,7,2,10
Gm13749,0,0,0,0,0,0
Mir1958,0,0,0,0,0,0
Klf7,91,181,106,130,121,89
Mir6899,0,0,0,0,0,0
Creb1,901,1243,978,878,1048,897
Mettl21a,263,527,263,261,382,305
2810408I11Rik,95,131,126,77,67,124
Ccnyl1,604,910,664,527,731,526
Fzd5,380,750,348,251,402,231
Plekhm3,289,530,299,222,327,208
Akr1cl,0,0,0,0,0,0
Cryge,0,0,0,0,0,0
Crygd,0,0,0,0,0,0
Crygc,0,0,0,0,0,0
Crygb,0,2,0,0,0,0
Cryga,0,0,0,0,0,0
D630023F18Rik,1,2,1,0,0,0
Idh1,1893,2997,2288,1718,3004,1679
Pikfyve,767,1084,824,778,858,698
Pth2r,2,2,5,2,1,2
Crygf,0,2,0,0,0,0
Map2,9,666,6,496,175,406
Unc80,3,0,2,2,1,0
Rpe,1051,1285,1243,774,986,856
Kansl1l,391,477,336,285,544,298
Acadl,1659,2158,1786,1491,2011,1609
Myl1,0,0,2,0,1,0
Lancl1,602,856,650,532,724,624
Cps1,3,0,4,3,8,0
Erbb4,0,0,2,0,0,0
Ikzf2,77,111,99,183,119,154
Spag16,0,0,0,0,0,0
Vwc2l,1,0,0,0,0,0
Bard1,311,409,348,361,252,363
Abca12,3,2,1,4,0,0
Atic,4105,5373,4643,4110,2657,4054
Fn1,54937,125784,61431,33956,83794,31552
Apol7d,14,12,11,13,15,8
Gm8883,2,3,6,1,1,1
4933417E11Rik,1,3,1,0,6,0
Mreg,27,12,29,17,21,16
Pecr,131,183,91,130,148,130
Tmem169,1,3,2,2,4,2
Xrcc5,858,1044,933,801,815,835
March4,4,3,3,13,2,7
Smarcal1,508,793,485,619,583,542
Ankar,0,0,0,0,0,0
Rpl37a,4093,5737,4659,3307,5631,4601
Igfbp2,4,4,0,20,23,26
Igfbp5,3881,8026,4292,4432,11209,4466
Tnp1,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0
Pinc,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0
6030407O03Rik,0,1,0,3,0,7
Tns1,3420,5605,3821,2835,5267,2452
Rufy4,4,2,3,7,2,4
Cxcr2,9,12,13,5,13,4
Cxcr1,0,0,0,0,0,0
Arpc2,7334,7746,7614,5380,7660,5717
Gpbar1,0,8,1,1,18,0
Aamp,3429,4522,3753,3073,3896,3479
Pnkd,893,951,897,698,1023,792
Tmbim1,1795,2685,1943,1299,2183,1440
Catip,9,4,3,1,14,3
Slc11a1,14,6,2,4,2,2
Ctdsp1,3233,5225,3556,4419,3793,4282
Mir26b,0,0,0,0,2,1
Vil1,1,4,10,4,1,9
Usp37,683,1004,796,834,598,771
Rqcd1,1791,2879,1997,1993,1630,2073
Plcd4,8,29,9,5,17,9
Zfp142,677,1011,727,735,641,609
Bcs1l,469,503,479,458,408,451
Rnf25,544,761,585,461,550,622
Stk36,87,151,76,89,98,101
Ttll4,415,817,457,575,517,574
Cyp27a1,50,23,51,33,50,31
Prkag3,2,1,1,11,25,11
Wnt6,7,1,5,0,1,1
Wnt10a,27,0,21,9,36,5
Cdk5r2,0,0,0,0,1,0
Fev,0,0,0,0,0,0
Cryba2,0,0,0,0,0,0
Mir375,0,0,0,0,0,0
Ccdc108,0,0,0,0,0,0
Ihh,3,2,4,5,3,1
Nhej1,58,62,54,47,48,37
Slc23a3,3,9,4,5,3,11
Cnppd1,1441,1622,1573,1655,1460,1716
Fam134a,2238,2547,2285,1929,2133,1911
Zfand2b,237,380,270,211,266,214
Abcb6,518,632,509,814,611,842
Atg9a,1301,1871,1398,1161,1406,1081
Ankzf1,371,528,427,318,480,321
Glb1l,196,289,233,193,224,208
Stk16,1317,1480,1543,1065,1274,1200
Tuba4a,1141,1584,1308,918,1044,818
A630095N17Rik,0,0,1,1,0,2
Dnajb2,513,937,635,579,826,648
Ptprn,963,669,963,474,1200,504
Resp18,10,1,1,0,0,1
Dnpep,1151,1830,1263,1086,1955,1262
Des,60,18,48,9,25,14
Gm15179,0,0,0,0,4,0
Speg,1240,1120,1183,523,2243,570
Gmppa,1169,1565,1290,856,1531,986
Asic4,0,2,1,1,2,5
Chpf,2360,3843,2497,1833,2898,1856
Tmem198,47,39,28,22,23,16
Obsl1,2290,2833,2282,1520,2653,1393
Inha,36,40,58,16,76,27
Stk11ip,793,690,827,700,685,768
Slc4a3,430,503,607,331,603,350
Gm17751,0,0,0,0,0,0
Mir6343,0,0,0,0,0,0
Epha4,211,241,236,430,419,382
Mir6352,0,0,0,0,0,0
Pax3,7,364,15,306,72,300
Sgpp2,11,4,6,11,0,3
Farsb,1389,1996,1592,1477,1202,1633
Mogat1,1,0,0,0,1,0
Acsl3,1125,1644,1329,885,1323,967
Utp14b,198,252,226,251,149,197
Kcne4,4,762,5,8,52,14
Scg2,1,45,1,16,23,18
Ap1s3,195,275,210,209,186,139
Wdfy1,1039,1636,1073,862,1455,808
Mrpl44,467,650,545,477,499,515
Serpine2,628,4251,659,896,925,922
Fam124b,0,0,0,0,0,0
Cul3,2324,3295,2580,2325,2385,2190
1700016L21Rik,0,0,0,0,0,0
Dock10,9,78,11,2,4,2
Nyap2,0,1,0,0,0,0
Mir6344,0,0,0,0,0,0
Irs1,657,1415,618,1208,628,969
Rhbdd1,1228,1620,1495,1189,1284,1179
Col4a4,50,302,49,86,161,101
Col4a3,22,109,36,57,69,43
Mff,1319,1880,1471,1197,1537,1293
Tm4sf20,0,0,1,0,0,0
Agfg1,1730,2069,1926,1816,1358,1665
Slc19a3,2,1,1,3,1,3
Ccl20,22,28,30,24,21,26
Daw1,0,0,1,0,0,1
Sphkap,0,0,0,0,0,1
Pid1,0,256,0,2,50,5
Mir6353,0,0,0,0,0,0
Dner,3,11,3,1,4,5
Mir5126,0,0,0,0,0,0
Trip12,5948,10170,6794,6933,6671,6071
Fbxo36,143,127,156,162,143,225
Slc16a14,0,1,0,0,0,0
A530032D15Rik,0,0,0,0,0,1
Gm7609,14,5,7,0,0,2
C130026I21Rik,1,1,10,0,1,9
Sp110,49,129,32,2,22,11
Sp140,62,114,84,12,102,34
Sp100,290,754,318,32,70,38
A630001G21Rik,16,34,11,3,7,1
Mir8096,0,0,0,0,0,0
9930111H07Rik,0,0,0,0,0,0
Cab39,2613,3161,2856,2351,2504,2257
Itm2c,2766,4750,2897,2271,4002,2604
4933407L21Rik,0,0,0,0,0,0
Gpr55,1,0,0,0,0,0
Spata3,0,0,0,0,0,0
2810459M11Rik,0,0,0,3,3,0
Psmd1,6369,8610,6905,6949,5698,6586
Htr2b,6,9,6,14,11,8
Armc9,426,370,455,188,373,218
B3gnt7,1,0,3,3,4,2
Ncl,24541,26429,28238,26139,16247,24540
Snora75,0,1,3,1,2,2
Mir3535,0,0,3,1,1,1
Snord82,0,0,0,0,0,0
C130036L24Rik,61,25,51,32,20,22
Nmur1,0,0,0,0,1,0
1700019O17Rik,0,0,0,0,0,1
Ptma,23844,30683,26152,24945,25082,26168
Pde6d,549,829,680,443,686,539
Cops7b,606,840,721,693,595,661
Nppc,0,0,0,0,0,0
Dis3l2,249,315,253,190,267,212
Alppl2,1,0,0,0,0,0
Alpi,0,0,0,0,0,3
Akp3,1,1,0,0,0,0
Ecel1,4,2,3,1,1,0
Prss56,17,27,22,34,7,14
Chrnd,0,0,0,0,0,0
Chrng,0,0,0,0,0,0
Eif4e2,1846,2272,1908,1638,1715,1801
Efhd1,0,0,1,1,7,0
Gigyf2,1529,2490,1626,1636,1837,1550
Kcnj13,3,0,1,1,2,1
3110079O15Rik,0,0,0,0,1,0
Ngef,25,133,22,29,41,29
Neu2,1,3,0,1,17,4
Inpp5d,1,0,0,0,2,1
Atg16l1,584,728,636,483,486,496
Scarna6,3,2,3,0,0,0
Sag,7,9,4,16,9,2
Dgkd,867,1068,962,816,1098,748
Usp40,938,1159,1090,974,860,955
Ugt1a10,0,0,0,0,0,0
Ugt1a9,0,0,0,0,0,0
Ugt1a7c,795,1390,864,559,967,602
Ugt1a6b,35,60,32,9,58,12
Ugt1a6a,253,613,280,119,479,152
Ugt1a5,0,1,0,0,0,0
Ugt1a2,1,0,0,0,1,0
Dnajb3,2,1,0,0,0,0
Ugt1a1,2,4,2,3,6,0
Mroh2a,173,383,173,141,341,171
Hjurp,213,473,216,197,298,219
6430706D22Rik,0,0,0,0,0,0
A730008H23Rik,0,0,0,0,0,0
Trpm8,0,0,0,3,4,0
Spp2,0,0,2,0,2,0
Glrp1,18,1,10,1,8,6
Gm19589,21,73,14,15,6,10
Arl4c,1597,2210,1580,1637,1428,1678
2410088K16Rik,2,1,3,1,1,0
1700067G17Rik,0,0,0,0,0,0
Sh3bp4,1352,1724,1499,1913,1811,1683
C030007H22Rik,0,0,0,0,0,0
Agap1,2468,3149,2701,1995,3372,1802
4933400F21Rik,0,0,0,0,0,1
Gbx2,0,0,0,0,0,0
Asb18,0,0,0,0,0,0
Iqca,0,0,0,1,0,0
Ackr3,31,118,37,14,52,17
Cops8,1635,2112,1771,1465,1355,1664
Col6a3,39,11096,41,32,1786,18
Mlph,2,7,4,0,2,0
Prlh,0,0,0,0,0,0
Rab17,1,0,3,0,0,3
Lrrfip1,2852,4474,3103,3160,3485,2993
Rbm44,1,0,0,0,0,0
Ramp1,4,32,7,4,161,8
Ube2f,754,907,865,652,941,692
Scly,317,467,331,303,267,338
Espnl,123,36,128,24,12,21
Klhl30,8,19,16,23,111,22
Fam132b,225,43,249,156,13,163
Ilkap,661,911,733,675,692,696
1700020N18Rik,0,0,0,0,0,0
Hes6,312,417,355,282,489,394
Per2,99,185,109,81,127,98
Traf3ip1,365,440,352,341,375,382
Asb1,340,528,342,353,408,307
Twist2,1908,2007,1994,2145,963,2478
Hdac4,187,488,239,276,383,260
Ndufa10,2070,2267,2240,1924,1977,2071
Mir6900,0,0,0,0,0,0
Olfr1416,0,0,0,0,0,0
Olfr1415,0,0,0,0,0,0
Olfr1414,0,0,0,0,0,0
Olfr1413,0,0,0,0,0,0
Olfr1412,0,0,0,0,0,0
Olfr1411,0,0,0,0,0,0
Olfr1410,0,0,0,0,0,0
Olfr12,0,0,0,0,0,0
Myeov2,592,619,649,377,800,586
Otos,0,2,1,0,0,1
Gpc1,457,1648,496,558,1744,564
Mir149,0,0,0,0,0,0
Ankmy1,2,6,15,8,10,16
Dusp28,180,191,180,61,61,93
Rnpepl1,828,972,848,622,903,625
9430060I03Rik,78,95,72,80,88,92
Capn10,388,502,367,392,396,393
Gpr35,13,36,9,2,8,3
Aqp12,0,0,0,0,0,0
Kif1a,3,0,0,0,5,1
Agxt,0,0,0,0,3,0
2310007B03Rik,0,0,0,0,0,1
Sned1,1,200,1,18,29,18
Mir6901,0,0,0,0,0,0
Mterfd2,168,383,170,188,217,202
Pask,278,466,316,432,287,370
Ppp1r7,1037,1519,1089,919,1013,1011
Mir6902,0,0,0,0,1,0
Mir6345,0,0,0,0,0,0
Ano7,0,0,0,5,0,0
Hdlbp,14265,26253,15908,14047,21973,12556
Sept2,6600,10096,7496,6641,8463,6215
Farp2,140,548,204,174,349,151
Stk25,1120,1706,1219,893,1560,988
Bok,605,668,751,366,1048,364
Thap4,695,891,766,563,698,522
Atg4b,763,983,773,547,794,549
Dtymk,1475,1840,1590,1405,1754,1692
Ing5,606,791,647,586,359,550
D2hgdh,241,252,276,203,317,213
Gal3st2,6,9,6,6,7,4
Gm9994,0,0,0,0,0,0
Gm6086,0,1,3,2,7,0
Neu4,0,0,0,0,0,0
Pdcd1,0,0,0,1,0,0
4930440C22Rik,0,0,0,0,0,0
Fam174a,274,321,333,164,331,207
St8sia4,1,5,3,2,11,4
4930598F16Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
4930533P14Rik,0,0,0,0,0,0
Slco4c1,0,0,0,0,0,0
Slco6b1,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0
D1Ertd622e,592,470,699,464,571,430
Ppip5k2,1023,1471,1161,1444,1200,1270
Gin1,187,212,199,171,134,169
Pam,1831,4412,2030,1120,2792,1091
B230216N24Rik,4,12,3,9,5,7
1810006J02Rik,0,0,0,0,0,0
Slco6d1,0,0,0,0,1,0
Cntnap5b,0,0,0,0,1,0
Gm20268,0,0,0,0,0,0
Cdh20,0,0,0,0,0,0
Rnf152,1,22,2,1,33,3
Pign,1162,1530,1402,1029,981,877
2310035C23Rik,588,881,680,487,707,497
Tnfrsf11a,83,46,89,75,213,52
Zcchc2,892,1185,899,809,627,743
Gm20753,0,0,0,0,0,0
Phlpp1,1552,1905,1680,1143,1599,959
Bcl2,442,501,426,261,409,239
Kdsr,612,872,675,658,642,608
Vps4b,1856,2626,2076,1681,1948,1643
Serpinb5,7,11,12,5,3,5
Serpinb12,0,0,0,0,0,0
Serpinb13,0,0,0,0,0,0
Serpinb3a,0,0,0,0,0,0
Serpinb3d,0,0,0,0,0,0
Serpinb3b,0,0,0,0,0,0
Serpinb3c,0,0,0,0,0,0
Serpinb11,0,0,1,1,0,4
Serpinb7,8,9,4,3,5,3
Serpinb2,100,53,95,29,22,19
Serpinb10,2,5,0,0,0,0
Serpinb8,161,234,177,119,109,113
D830032E09Rik,0,1,0,0,0,0
Cdh7,0,3,0,0,0,0
Cdh19,0,106,0,0,0,0
Dsel,559,877,645,125,299,140
Cntnap5a,0,3,1,0,0,0
Tsn,2284,3528,2535,2396,2398,2418
Nifk,1025,1335,1263,1012,904,988
Clasp1,1786,2844,1766,1876,2188,1606
2900060B14Rik,4,4,4,1,0,0
Tfcp2l1,55,97,75,63,120,50
Gli2,157,646,154,258,132,272
Inhbb,2,79,7,54,220,51
Ralb,1399,2117,1575,1517,1875,1504
Tmem185b,391,384,483,267,290,293
Epb4.1l5,141,233,132,179,199,142
Ptpn4,267,359,349,266,290,245
Tmem177,174,194,216,164,170,172
Gm101,0,0,0,0,0,0
Sctr,0,0,0,0,0,0
Tmem37,7,41,1,6,21,17
Dbi,2306,2331,2534,1565,2340,2100
3110009E18Rik,33,36,37,32,22,17
Steap3,778,2321,762,485,940,524
C1ql2,0,0,0,0,0,0
Marco,0,0,0,0,0,0
En1,14,268,18,89,39,98
Celrr,0,0,0,0,0,1
Insig2,1300,1537,1515,1169,1455,1215
Ccdc93,856,1495,1118,983,1006,922
Htr5b,1,0,1,0,0,0
Ddx18,1870,2477,2145,2186,1447,2299
Dpp10,1,0,0,0,0,0
Actr3,7097,8687,7925,6239,6838,6503
Slc35f5,1066,1730,1283,1098,1249,1187
Gpr39,1237,1226,1424,1068,1085,1002
Lypd1,787,765,936,685,663,645
Nckap5,64,162,64,121,94,105
