""	"K70_1"	"K70_2"	"K70_3"	"K70MD_1"	"K70MD_2"	"K70MD_3"	"K70P10_1"	"K70P10_2"	"K70P10_3"	"NKO70_1"	"NKO70_2"	"NKO70_3"
"C11orf96"	3.80276262762196	9.38682390333846	5.36633664074173	57.5245595499425	92.5596118663847	71.1304851028229	61.5764476202246	61.9366851266362	56.9795868832509	4.00153964448857	3.20491455394927	2.82076675552326
"C1QTNF2"	8.5562159121494	6.25788260222564	4.29306931259338	46.6415347702236	48.2919714085485	51.6269649939844	37.8931985355229	26.4521259395009	34.8208586508756	9.00346420009929	17.0928776210628	14.1038337776163
"C7orf65"	0	0	0	46.6415347702236	12.0729928521371	34.4179766626562	4.14456858982281	12.9034760680492	6.3310652092501	1.00038491112214	5.34152425658211	4.7012779258721
"CA13"	10.4575972259604	5.47564727694743	2.14653465629669	20.2113317337636	30.8532039554616	24.0925836638594	31.9723862643474	15.4841712816591	28.4897934416255	15.0057736668322	8.54643881053138	25.3869007997094
"CACNA1A"	1.90138131381098	0.782235325278205	2.14653465629669	15.5471782567412	13.4144365023746	30.9761789963906	22.4990866304667	14.1938236748541	14.7724854882502	0	1.06830485131642	0.940255585174421
"CEND1"	133.096691966768	165.051653633701	169.576237847439	37.3132278161789	14.755880152612	21.798051886349	53.8793916676966	30.9683425633181	29.5449709765005	86.0331023565044	104.693875429009	75.2204468139536
"CRABP1"	1.90138131381098	3.12894130111282	1.07326732814835	90.173633889099	69.7550698123479	96.3703346554375	45.5902544880509	49.033209058587	60.145119487876	7.00269437785501	3.20491455394927	5.64153351104652
"CRTAC1"	15.2110505104878	10.9512945538949	16.0990099222252	71.5170199810096	64.389295211398	67.6886874365573	103.022133518453	96.1308967069666	27.4346159067505	11.0042340223436	8.54643881053138	8.46230026656978
"CTSS"	3.80276262762196	4.69341195166923	0	21.7660495594377	29.5117603052241	19.5035201088385	13.6178682237035	16.774518888464	18.9931956277503	2.00076982224429	2.13660970263284	0
"CYP2J2"	8.5562159121494	11.7335298791731	6.43960396889007	74.6264556323578	79.1451753640101	80.3086122128646	53.8793916676966	40.0007758109526	52.7588767437509	14.00538875571	19.2294873236956	13.1635781924419
"DAAM1"	166.370864958461	214.332479126228	160.990099222252	1851.66893037788	1825.70480797318	1748.43321446294	1020.15595432353	1081.31129450252	503.319684135383	220.084680446872	256.393164315941	270.793608530233
"DAB2"	8.5562159121494	19.5558831319551	6.43960396889007	54.4151238985942	37.5604222066489	57.3632944377604	74.6022346168106	87.7436372627346	47.4829890693758	6.00230946673286	9.6147436618478	9.40255585174421
"DAPP1"	11.4082878828659	10.9512945538949	10.7326732814835	195.894446034939	152.92457612707	199.624264643406	78.7468032066334	78.7112040151002	91.8004455341265	11.0042340223436	13.8879630671135	13.1635781924419
"DDIT4"	4599.44139810876	4731.74148260786	4301.65545121857	718.279635461444	678.770487020154	552.98215838001	794.573006791745	672.271103145364	1427.6552046859	2263.87105386941	2091.74089887755	2175.75142409361
"DHRS2"	416.402507724604	407.544604469945	426.087129274893	6.21887130269648	8.04866190142475	5.73632944377604	55.0635541219317	78.0660302116977	90.7452679992515	393.151270071002	367.496868852849	411.831946306396
"DHRS9"	69.4004179541007	52.4097667936397	45.0772277822305	670.083382865546	548.650452947121	440.550101282	168.151068501383	161.293450850615	391.470865438631	61.0234795784508	69.4398153355674	62.0568686215118
"DNAJC12"	2.85207197071647	3.12894130111282	10.7326732814835	104.166094320166	93.9010555166221	95.2230687666823	23.6832490847018	20.0003879054763	45.3726339996257	8.00307928897715	9.6147436618478	5.64153351104652
"DYDC1"	0	0.782235325278205	0	6.21887130269648	20.1216547535619	6.88359533253125	6.51289349829299	3.87104282041476	17.9380180928753	2.00076982224429	0	0
"DYDC2"	1.90138131381098	14.0802358550077	2.14653465629669	26.4302030364601	61.7064079109231	36.7125084401667	29.0119801287597	14.1938236748541	72.8072499063762	8.00307928897715	2.13660970263284	7.52204468139536
"EBI3"	0.950690656905489	2.34670597583461	2.14653465629669	35.7585099905048	46.9505277583111	41.3015719951875	18.3545180406439	14.1938236748541	16.8828405580003	4.00153964448857	1.06830485131642	9.40255585174421
"EMILIN2"	2.85207197071647	3.91117662639102	3.21980198444504	17.1018960824153	17.438767453087	20.6507859975937	72.2339097083404	72.2594659810756	10.5517753487502	1.00038491112214	6.40982910789853	17.864856118314
"ERG"	0	0	0	12.437742605393	17.438767453087	1.14726588875521	5.92081227117545	14.1938236748541	2.11035506975003	1.00038491112214	1.06830485131642	0
"FAM133A"	0.950690656905489	5.47564727694743	4.29306931259338	27.9849208621342	38.9018658568863	27.534381330125	23.0911678575842	30.3231687599156	13.7173079533752	1.00038491112214	6.40982910789853	3.76102234069768
"FBLN5"	55.1400581005184	68.0544732992038	61.1762377044557	231.652956025444	252.191406244642	408.426656396854	316.171375280769	350.974549050938	187.821601207753	30.0115473336643	44.8688037552897	51.7140571845931
"FBP1"	1.90138131381098	10.9512945538949	8.58613862518676	225.434084722748	268.288730047492	232.894975417307	22.4990866304667	26.4521259395009	50.6485216740008	18.0069284001986	14.9562679184299	6.58178909622094
"FLG2"	24.7179570795427	14.8624711802859	10.7326732814835	1.55471782567412	2.68288730047492	0	0.592081227117545	3.2258690170123	0	1.00038491112214	0	39.4907345773257
"FOSB"	31.3727916778811	32.8538836616846	64.3960396889007	155.471782567412	246.825631643692	282.227408633781	355.248736270527	323.232075504633	273.290981532629	33.0127020670307	41.6638892013405	58.2958462808141
"GAS2L1P2"	3.80276262762196	0.782235325278205	1.07326732814835	71.5170199810096	33.5360912559365	47.0379014389635	30.7882238101123	24.5166045292935	22.1587282323754	4.00153964448857	1.06830485131642	0
"GATA6-AS1"	6.65483459833842	6.25788260222564	4.29306931259338	212.996342117355	178.412005481582	193.88793519963	13.6178682237035	25.8069521360984	31.6553260462505	14.00538875571	6.40982910789853	8.46230026656978
"GBX1"	0	0	1.07326732814835	20.2113317337636	13.4144365023746	18.3562542200833	18.9465992677614	6.45173803402461	5.27588767437509	1.00038491112214	1.06830485131642	6.58178909622094
"GFRA3"	0.950690656905489	6.25788260222564	4.29306931259338	46.6415347702236	48.2919714085485	78.0140804353541	21.3149241762316	21.2907355122812	13.7173079533752	9.00346420009929	3.20491455394927	5.64153351104652
"GGTLC2"	0	1.56447065055641	0	37.3132278161789	52.3163023592609	40.1543061064323	11.8416245423509	12.2583022646467	9.49659781387516	0	0	3.76102234069768
"GJB4"	13.3096691966768	10.1690592286167	7.51287129703842	147.698193439041	116.705597570659	161.764490314484	61.5764476202246	69.0335969640633	86.5245578597514	27.0103926002979	19.2294873236956	31.0284343107559
"GPD1"	3.80276262762196	1.56447065055641	2.14653465629669	41.9773812932013	65.7307388616355	63.0996238815364	19.538680494879	21.9359093156837	24.2690833021254	10.0038491112214	2.13660970263284	1.88051117034884
"GPR1"	1.90138131381098	3.91117662639102	5.36633664074173	474.188936830607	441.334960928124	466.93721672337	33.1565487185825	38.0652544007452	99.1866882782516	16.0061585779543	12.8196582157971	4.7012779258721
"GRPR"	25.6686477364482	10.9512945538949	23.6118812192636	111.939683448537	111.339822969709	113.579322986766	110.719189470981	118.711979826053	62.255474557626	26.0100076891757	20.297792175012	29.147923140407
"H2BC15"	6.65483459833842	3.91117662639102	1.07326732814835	88.6189160634249	99.266830117572	96.3703346554375	15.9861931321737	18.0648664952689	32.7105035811255	13.0050038445879	4.27321940526569	15.0440893627907
"HCP5"	16.1617411673933	10.9512945538949	24.6851485474119	105.72081214584	111.339822969709	111.284791209255	72.2339097083404	58.0656423062214	159.331807766128	15.0057736668322	20.297792175012	24.4466452145349
"HHLA2"	2.85207197071647	2.34670597583461	2.14653465629669	20.2113317337636	17.438767453087	21.798051886349	14.2099494508211	12.2583022646467	23.2139057672504	5.00192455561072	0	1.88051117034884
"HOXD1"	0	1.56447065055641	1.07326732814835	7.77358912837061	12.0729928521371	20.6507859975937	7.69705595252808	10.3227808544394	15.8276630231253	0	7.47813395921496	3.76102234069768
"HSD17B6"	12.3589785397714	14.8624711802859	21.4653465629669	111.939683448537	80.4866190142475	112.43205709801	83.4834530235738	59.3559899130264	100.241865813127	11.0042340223436	14.9562679184299	14.1038337776163
"HSPB2"	6.65483459833842	7.04011792750384	6.43960396889007	57.5245595499425	56.3406333099733	52.7742308827396	13.6178682237035	24.5166045292935	53.8140542786259	12.0046189334657	6.40982910789853	5.64153351104652
"IGSF23"	0	0	0	40.4226634675271	33.5360912559365	47.0379014389635	5.3287310440579	3.87104282041476	9.49659781387516	0	0	0
"IHH"	0	6.25788260222564	1.07326732814835	13.9924604310671	13.4144365023746	26.3871154413698	24.8674115389369	24.5166045292935	24.2690833021254	7.00269437785501	2.13660970263284	3.76102234069768
"IL21R"	50.3866048159909	62.5788260222564	72.9821783140875	7.77358912837061	2.68288730047492	2.29453177751042	15.3941119050562	11.6131284612443	8.44142027900014	17.0065434890764	12.8196582157971	29.147923140407
"IL31RA"	19.9645037950153	23.4670597583461	9.65940595333511	99.5019408431437	87.1938372654348	110.1375253205	116.047920515039	99.3567657239789	47.4829890693758	10.0038491112214	18.1611824723792	4.7012779258721
"INPP1"	2.85207197071647	3.12894130111282	9.65940595333511	26.4302030364601	50.9748587090234	35.5652425514115	18.9465992677614	32.9038639735255	25.3242608370004	1.00038491112214	8.54643881053138	2.82076675552326
"ISM2"	13.3096691966768	8.60458857806025	16.0990099222252	57.5245595499425	37.5604222066489	66.5414215478021	77.5626407523984	107.098851364808	77.0279600458763	8.00307928897715	7.47813395921496	14.1038337776163
"ITGB2"	2.85207197071647	4.69341195166923	4.29306931259338	51.305688247246	38.9018658568863	60.805092104026	23.0911678575842	26.4521259395009	24.2690833021254	4.00153964448857	7.47813395921496	2.82076675552326
"ITGB2-AS1"	1.90138131381098	1.56447065055641	1.07326732814835	32.6490743391565	48.2919714085485	48.1851673277187	9.47329963388071	12.9034760680492	17.9380180928753	7.00269437785501	4.27321940526569	0.940255585174421
"IZUMO4"	2.85207197071647	6.25788260222564	2.14653465629669	71.5170199810096	76.4622880635352	82.603143990375	17.7624368135263	25.161778332696	34.8208586508756	3.00115473336643	1.06830485131642	0.940255585174421
"JPH2"	0.950690656905489	5.47564727694743	9.65940595333511	48.1962525958977	37.5604222066489	43.5961037726979	40.261523443993	23.871430725891	22.1587282323754	17.0065434890764	22.4344018776449	6.58178909622094
"KCNB1"	0.950690656905489	2.34670597583461	11.8059406096318	20.2113317337636	32.194647605699	48.1851673277187	39.6694422168755	43.2266448279649	9.49659781387516	3.00115473336643	4.27321940526569	5.64153351104652
"KCNG3"	10.4575972259604	6.25788260222564	5.36633664074173	76.1811734580319	34.8775349061739	50.4796991052292	35.5248736270527	49.033209058587	36.9312137206256	8.00307928897715	3.20491455394927	0
"KCNK9"	4.75345328452745	7.82235325278205	3.21980198444504	136.815168659323	109.998379319472	80.3086122128646	21.3149241762316	19.3552141020738	96.0211556736266	7.00269437785501	4.27321940526569	6.58178909622094
"KLHL6"	79.8580151800611	94.6504743586628	50.4435644229722	373.132278161789	423.896193475037	294.847333410088	572.542546622666	556.784992336323	356.650006787756	72.0277136007943	37.3906697960748	57.3555906956396
"KRT23"	13.3096691966768	11.7335298791731	7.51287129703842	124.37742605393	127.437146772559	123.904715985562	29.0119801287597	36.7749067939402	67.5313622320011	12.0046189334657	16.0245727697463	15.0440893627907
"KRT83"	5.70414394143294	8.60458857806025	8.58613862518676	41.9773812932013	37.5604222066489	19.5035201088385	30.1961425829948	23.871430725891	44.3174564647507	10.0038491112214	7.47813395921496	4.7012779258721
"KRTAP2-3"	14.2603598535823	13.2980005297295	5.36633664074173	87.0641982377508	73.7794007630602	107.84299354299	132.034113647212	118.06680602265	113.959173766502	15.0057736668322	14.9562679184299	12.2233226072675
"KRTAP3-1"	2.85207197071647	6.25788260222564	5.36633664074173	150.80762909039	194.509329284432	199.624264643406	59.2081227117545	43.2266448279649	58.034764418126	11.0042340223436	0	4.7012779258721
"LCE1E"	1.90138131381098	3.12894130111282	4.29306931259338	9.32830695404473	25.4874293545117	19.5035201088385	24.8674115389369	14.1938236748541	27.4346159067505	1.00038491112214	9.6147436618478	4.7012779258721
"LCE1F"	41.8303889038415	20.3381184572333	30.0514851881537	433.76627336308	413.164644273137	419.899315284406	113.679595606569	144.518931962151	238.470122881754	52.0200153783515	44.8688037552897	34.7894566514536
"LINC00452"	3.80276262762196	1.56447065055641	4.29306931259338	57.5245595499425	46.9505277583111	60.805092104026	21.9070054033492	19.3552141020738	21.1035506975003	12.0046189334657	7.47813395921496	6.58178909622094
"LINC00589"	5.70414394143294	8.60458857806025	3.21980198444504	77.7358912837061	53.6577460094984	73.4250168803333	39.6694422168755	34.1942115803304	37.9863912555006	9.00346420009929	22.4344018776449	15.9843449479651
"LINC01133"	7.60552525524391	5.47564727694743	1.07326732814835	87.0641982377508	115.364153920421	82.603143990375	65.1289349829299	80.0015516219051	55.9244093483759	2.00076982224429	24.5710115802777	5.64153351104652
"LINC01173"	0	0	0	23.3207673851118	37.5604222066489	28.6816472188802	2.36832490847018	4.51621662381722	9.49659781387516	0	2.13660970263284	0.940255585174421
"LINC01204"	8.5562159121494	6.25788260222564	6.43960396889007	94.8377873661214	83.1695063147225	79.1613463241094	30.1961425829948	38.7104282041476	92.8556230690015	37.0142417115193	16.0245727697463	19.7453672886628
"LINC01516"	4.75345328452745	9.38682390333846	4.29306931259338	63.743430852639	61.7064079109231	76.8668145465989	23.6832490847018	18.0648664952689	46.4278115345008	13.0050038445879	8.54643881053138	8.46230026656978
"LINC02321"	7.60552525524391	5.47564727694743	2.14653465629669	143.034039962019	136.827252324221	201.918796420917	15.9861931321737	18.7100402986714	71.7520723715012	16.0061585779543	16.0245727697463	15.0440893627907
"LINC02669"	0	0	0	7.77358912837061	5.36577460094984	17.2089883313281	5.3287310440579	3.2258690170123	9.49659781387516	0	0	0
"LINC02773"	0	0	0	18.6566139080895	9.39010555166221	14.9144565538177	4.14456858982281	9.03243324763445	5.27588767437509	0	0	2.82076675552326
"LINC02827"	4.75345328452745	7.82235325278205	3.21980198444504	101.056658668818	143.534470575408	82.603143990375	26.051573993172	21.2907355122812	33.7656811160006	2.00076982224429	13.8879630671135	9.40255585174421
"LIPH"	23.7672664226372	28.1604717100154	20.3920792348186	634.324872875041	543.284678346171	500.207927497271	317.355537735004	292.908906744717	294.39453223013	37.0142417115193	27.775926134227	28.2076675552326
"LOC100506178"	0	4.69341195166923	1.07326732814835	76.1811734580319	88.5352809156723	63.0996238815364	13.025786996586	11.6131284612443	17.9380180928753	0	1.06830485131642	1.88051117034884
"LOC101927248"	39.9290075900305	50.0630608178051	32.1980198444504	1.55471782567412	8.04866190142475	17.2089883313281	12.4337057694684	4.51621662381722	9.49659781387516	39.0150115337636	64.0982910789853	42.3115013328489
"LOC101927863"	4.75345328452745	0	0	57.5245595499425	76.4622880635352	64.2468897702917	16.5782743592912	10.9679546578418	14.7724854882502	5.00192455561072	5.34152425658211	6.58178909622094
"LOC101928304"	1.90138131381098	0	2.14653465629669	48.1962525958977	52.3163023592609	47.0379014389635	8.28913717964562	5.80656423062214	23.2139057672504	7.00269437785501	6.40982910789853	0.940255585174421
"LOC101928994"	3.80276262762196	0.782235325278205	8.58613862518676	77.7358912837061	71.0965134625853	56.2160285490052	30.7882238101123	32.258690170123	24.2690833021254	1.00038491112214	5.34152425658211	13.1635781924419
"LOC101929128"	8.5562159121494	10.1690592286167	15.0257425940768	223.879366897073	217.313871338468	292.552801632578	40.8536046711106	40.0007758109526	52.7588767437509	29.0111624225422	27.775926134227	25.3869007997094
"LOC101929638"	10.4575972259604	10.1690592286167	8.58613862518676	124.37742605393	107.315492018997	95.2230687666823	30.7882238101123	47.7428614517821	66.4761846971261	10.0038491112214	7.47813395921496	14.1038337776163
"LOC101929846"	1.90138131381098	6.25788260222564	3.21980198444504	68.4075843296613	44.2676404578361	47.0379014389635	18.3545180406439	15.4841712816591	17.9380180928753	13.0050038445879	11.7513533644806	5.64153351104652
"LOC102546229"	26.6193383933537	38.329530938632	34.344554500747	0	2.68288730047492	6.88359533253125	7.10497472541054	8.38725944423199	1.05517753487502	16.0061585779543	10.6830485131642	11.283067022093
"LOC102724475"	7.60552525524391	14.8624711802859	9.65940595333511	82.4000447607284	76.4622880635352	91.7812711004166	92.364671430337	87.0984634593322	145.614499812752	16.0061585779543	20.297792175012	9.40255585174421
"LOC102725231"	3.80276262762196	2.34670597583461	1.07326732814835	119.713272576907	213.289540387756	149.144565538177	15.9861931321737	12.9034760680492	35.8760361857506	5.00192455561072	10.6830485131642	12.2233226072675
"LOC105369301"	27.5700290502592	23.4670597583461	27.904950531857	351.366228602351	309.873483204853	265.018420302453	113.679595606569	120.002327432858	200.483731626253	22.0084680446872	40.595584350024	45.1322680883722
"LOC105370777"	0.950690656905489	0	0	68.4075843296613	84.5109499649599	64.2468897702917	6.51289349829299	5.80656423062214	21.1035506975003	2.00076982224429	2.13660970263284	7.52204468139536
"LOC105371069"	26.6193383933537	17.9914124813987	27.904950531857	7.77358912837061	1.34144365023746	2.29453177751042	5.92081227117545	4.51621662381722	6.3310652092501	16.0061585779543	11.7513533644806	27.2674119700582
"LOC105371401"	0.950690656905489	3.12894130111282	1.07326732814835	35.7585099905048	22.8045420540368	17.2089883313281	13.025786996586	10.3227808544394	20.0483731626253	0	3.20491455394927	0.940255585174421
"LOC105371493"	1.90138131381098	0.782235325278205	0	40.4226634675271	30.8532039554616	19.5035201088385	10.0653808609983	18.0648664952689	13.7173079533752	5.00192455561072	4.27321940526569	2.82076675552326
"LOC105371855"	1.90138131381098	8.60458857806025	7.51287129703842	45.0868169445495	79.1451753640101	33.270710773901	17.1703555864088	29.6779949565132	34.8208586508756	15.0057736668322	10.6830485131642	8.46230026656978
"LOC105372424"	15.2110505104878	7.82235325278205	5.36633664074173	91.7283517147731	142.193026925171	145.702767871911	27.8278176745246	31.6135163667206	60.145119487876	10.0038491112214	12.8196582157971	20.6856228738373
"LOC105372501"	1.90138131381098	0	2.14653465629669	10.8830247797188	12.0729928521371	21.798051886349	21.3149241762316	27.7424735463058	3.16553260462505	5.00192455561072	0	2.82076675552326
"LOC105372632"	2.85207197071647	2.34670597583461	2.14653465629669	29.5396386878083	25.4874293545117	12.6199247763073	15.3941119050562	9.67760705103691	20.0483731626253	4.00153964448857	4.27321940526569	0.940255585174421
"LOC105372663"	0.950690656905489	3.91117662639102	2.14653465629669	20.2113317337636	30.8532039554616	20.6507859975937	18.9465992677614	14.1938236748541	11.6069528836252	0	0	3.76102234069768
"LOC105372693"	0	0	0	4.66415347702236	5.36577460094984	8.03086122128646	4.73664981694036	8.38725944423199	6.3310652092501	0	2.13660970263284	0.940255585174421
"LOC105373490"	0	0	0	17.1018960824153	4.02433095071238	14.9144565538177	2.96040613558772	9.03243324763445	11.6069528836252	1.00038491112214	3.20491455394927	0
"LOC105373610"	49.4359141590854	50.8452961430833	57.9564357200106	3.10943565134824	6.70721825118729	11.4726588875521	10.0653808609983	10.9679546578418	9.49659781387516	27.0103926002979	26.7076212829106	47.012779258721
"LOC105374259"	0	0	0	6.21887130269648	6.70721825118729	9.17812711004166	11.2495433152333	7.09691183742707	10.5517753487502	1.00038491112214	3.20491455394927	0
"LOC105374308"	0	0.782235325278205	0	23.3207673851118	5.36577460094984	24.0925836638594	8.28913717964562	4.51621662381722	9.49659781387516	3.00115473336643	2.13660970263284	0
"LOC105374309"	13.3096691966768	13.2980005297295	22.5386138911152	150.80762909039	163.65612532897	184.709808089589	68.6814223456352	67.0980755538559	74.9176049761262	23.0088529558093	25.6393164315941	23.5063896293605
"LOC105375754"	9.50690656905489	17.9914124813987	22.5386138911152	104.166094320166	85.8523936151974	75.7195486578437	90.5884277489843	85.8081158525273	53.8140542786259	9.00346420009929	17.0928776210628	23.5063896293605
"LOC105375821"	0.950690656905489	0	0	20.2113317337636	30.8532039554616	10.3253929987969	4.73664981694036	8.38725944423199	11.6069528836252	0	4.27321940526569	3.76102234069768
"LOC105376222"	11.4082878828659	13.2980005297295	6.43960396889007	77.7358912837061	59.0235206104482	115.873854764276	63.9447725286948	54.8397732892091	64.3658296273761	11.0042340223436	10.6830485131642	8.46230026656978
"LOC105376233"	2.85207197071647	9.38682390333846	9.65940595333511	167.909525172805	170.363343580157	153.733629093198	17.1703555864088	23.871430725891	134.007546929127	11.0042340223436	20.297792175012	15.0440893627907
"LOC105376475"	0	0	0	12.437742605393	17.438767453087	11.4726588875521	8.28913717964562	12.9034760680492	10.5517753487502	0	0	0.940255585174421
"LOC105376689"	4.75345328452745	4.69341195166923	3.21980198444504	18.6566139080895	32.194647605699	21.798051886349	31.9723862643474	40.0007758109526	11.6069528836252	5.00192455561072	3.20491455394927	6.58178909622094
"LOC105377378"	3.80276262762196	7.04011792750384	5.36633664074173	416.664377280664	574.137882301632	433.666505949469	15.9861931321737	9.67760705103691	62.255474557626	8.00307928897715	17.0928776210628	11.283067022093
"LOC105379051"	3.80276262762196	9.38682390333846	9.65940595333511	59.0792773756166	49.633415058786	36.7125084401667	23.6832490847018	26.4521259395009	80.1934926505013	28.01077751142	21.3660970263284	17.864856118314
"LOC105379443"	1.90138131381098	2.34670597583461	3.21980198444504	23.3207673851118	53.6577460094984	63.0996238815364	13.6178682237035	10.3227808544394	13.7173079533752	7.00269437785501	9.6147436618478	10.3428114369186
"LOC107984104"	7.60552525524391	3.91117662639102	7.51287129703842	225.434084722748	265.605842747017	190.446137533365	21.3149241762316	29.0328211531107	43.2622789298757	7.00269437785501	9.6147436618478	3.76102234069768
"LOC107984192"	0	0	0	9.32830695404473	10.7315492018997	18.3562542200833	6.51289349829299	7.74208564082953	10.5517753487502	0	0	0
"LOC107984200"	1.90138131381098	2.34670597583461	1.07326732814835	21.7660495594377	8.04866190142475	22.9453177751042	13.025786996586	20.6455617088787	12.6621304185002	6.00230946673286	1.06830485131642	11.283067022093
"LOC107986558"	0	0.782235325278205	2.14653465629669	12.437742605393	10.7315492018997	19.5035201088385	18.3545180406439	19.3552141020738	9.49659781387516	1.00038491112214	1.06830485131642	1.88051117034884
"LOC107986973"	24.7179570795427	25.0315304089026	11.8059406096318	188.120856906569	241.459857042743	226.011380084776	89.4042652947492	89.679158672942	137.173079533752	9.00346420009929	14.9562679184299	13.1635781924419
"LOC389602"	0	0.782235325278205	0	7.77358912837061	10.7315492018997	11.4726588875521	23.0911678575842	15.4841712816591	11.6069528836252	4.00153964448857	1.06830485131642	0
"LOR"	27.5700290502592	21.1203537825115	25.7584158755603	7.77358912837061	2.68288730047492	1.14726588875521	0	6.45173803402461	2.11035506975003	0	0	28.2076675552326
"LRRC15"	0	0	0	7.77358912837061	4.02433095071238	17.2089883313281	12.4337057694684	9.03243324763445	11.6069528836252	0	1.06830485131642	0
"LY96"	1.90138131381098	10.1690592286167	7.51287129703842	119.713272576907	112.681266619947	120.462918319297	20.7228429491141	12.2583022646467	94.9659781387516	17.0065434890764	17.0928776210628	14.1038337776163
"MAB21L4"	15.2110505104878	2.34670597583461	13.9524752659285	105.72081214584	105.974048368759	91.7812711004166	52.1031479863439	34.8393853837329	43.2622789298757	11.0042340223436	1.06830485131642	10.3428114369186
"MAP3K7CL"	0.950690656905489	14.8624711802859	10.7326732814835	597.011645058862	706.940803675141	562.160285490052	61.5764476202246	78.7112040151002	136.117901998877	25.0096227780536	30.9808406881762	17.864856118314
"MAP6"	25.6686477364482	42.2407075650231	35.4178218288954	135.260450833649	195.850772934669	255.840293192411	388.997366216227	422.588841228612	111.848818696752	51.0196304672293	29.9125358368598	28.2076675552326
"MOBP"	23.7672664226372	10.1690592286167	13.9524752659285	1.55471782567412	1.34144365023746	3.44179766626562	2.96040613558772	3.2258690170123	2.11035506975003	0	1.06830485131642	9.40255585174421
"MROH3P"	0	0	0	119.713272576907	127.437146772559	169.795351535771	5.92081227117545	3.2258690170123	8.44142027900014	3.00115473336643	2.13660970263284	1.88051117034884
"MUC1"	4.75345328452745	10.1690592286167	6.43960396889007	52.8604060729201	48.2919714085485	26.3871154413698	48.5506606236387	52.9042518790018	40.0967463252507	14.00538875571	9.6147436618478	8.46230026656978
"MYH2"	0.950690656905489	7.04011792750384	6.43960396889007	13.9924604310671	33.5360912559365	29.8289131076354	42.6298483524632	39.3556020075501	7.38624274412512	3.00115473336643	0	0
"NMNAT2"	5.70414394143294	1.56447065055641	4.29306931259338	23.3207673851118	22.8045420540368	25.2398495526146	29.6040613558772	34.8393853837329	8.44142027900014	7.00269437785501	12.8196582157971	4.7012779258721
